model,ranking_method,feature_subset,selected_rank,feature
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,47,BDI_Close_first_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,48,PI201053_roll3
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,49,PI101402_lag3
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,50,PI101432_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,51,PI101405*x*general_index
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,52,food_index_std6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,53,PI101432_roll6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,54,PI101124_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,55,PI101404*x*general_index
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,56,PI101102_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,57,BDI_Close_max_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,58,BDI_Low_median_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,59,PI101432_lag12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,60,BDI_Close_mean_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,61,PI101402
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,62,PI211444*x*general_index
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,63,PI211442*x*general_index
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,64,PI201051
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,65,PI101161
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,66,PI201093*x*general_index
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,67,PI101105_lag1
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,68,PI101402_roll3
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,69,BDI_High_median_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,70,PI101105_lag3
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,71,BDI_Close_median_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,72,EUR_median_lag12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,73,PI101141*x*general_index
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,74,PI101125
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,75,PI101132_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,76,PI201071*x*general_index
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,77,PI101125_roll3
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,78,PI101405_roll3
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,79,PI201053
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,80,PI101402_lag2
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,81,PI201051_lag2
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,82,PI101005_roll3
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,83,PI101142_std6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,84,PI101142_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,85,PI101104_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,86,PI101402_lag6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,87,USD_std_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,88,PI211444
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,89,BDI_Close_range_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,90,PI101005_roll6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,91,PI101402_lag12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,92,PI101101_lag2
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,93,USD_range_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,94,PI201003
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,95,PI201091*x*general_index
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,96,PI101405_lag3
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,97,BDI_High_range_roll6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,98,BDI_High_variance_roll6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,99,PI201053_lag1
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,100,USD_mean_lag12
