metric,mean_delta_improvement,ci95_lower,ci95_upper,probability_stageC_better
rmse,-0.14235401930616273,-1.5191148877129554,1.2396001498493339,0.432
mae,-0.430381273513173,-1.5683448737361545,0.7591633964470651,0.2485
r2,-0.07665269513232675,-0.7422811356033486,0.3444333909883501,0.4155
