"Date","EUR_mean","EUR_median","EUR_std","EUR_range","EUR_pct_change","GBP_mean","GBP_median","GBP_std","GBP_range","GBP_pct_change","USD_mean","USD_median","USD_std","USD_range","USD_pct_change","SDR_mean","SDR_median","SDR_std","SDR_range","SDR_pct_change","YEN_mean","YEN_median","YEN_std","YEN_range","YEN_pct_change","ZAR_mean","ZAR_median","ZAR_std","ZAR_range","ZAR_pct_change"
2001-01-01,0.255929,0.19536,0.106098932635213,0.24566,-0.175941938273029,0.127176,0.12406,0.0058477305093054,0.01374,-0.0664953590098777,0.183873,0.18344,0.0016400045792162,0.0043799999999999,-0.0124936835481814,0.140053,0.14089,0.0020246233177596,0.00498,0.0269650557671266,21.3978,21.43,0.159724435796764,0.449999999999999,0.0025262901545149,1.360006,1.42349,0.112461171164296,0.26164,1.77552330040641
2001-02-01,0.19799,0.198225,0.0012247075496008,0.0032,-0.0005244179348634,0.12552,0.125425,0.0006356118568601,0.0017249999999999,-0.0047234449234955,0.18227,0.1823,0.0008017976597834,0.00215,-0.0039528901081677,0.14104,0.141,0.000455836325326,0.001175,-0.0012340081600313,21.2205,21.205,0.149311948990392,0.427499999999999,0.0048846969944865,1.42263,1.422275,0.0027927996573956,0.0071,0.0007934154335472
2001-03-01,0.19844,0.198375,0.0012892676666692,0.0033499999999999,0.0089758753215998,0.12461,0.124875,0.0005173549237326,0.0013,0.002417525367589,0.17975,0.1798,0.0008708916064401,0.0023499999999999,-0.006790424500154,0.14092,0.14105,0.0004187178243768,0.0010749999999999,0.0015936198631855,21.916,21.8625,0.138890380705092,0.364999999999999,0.0128270391056467,1.42355,1.42275,0.0024759014172493,0.0063,-0.0009319079354947
2001-04-01,0.198141666666667,0.198125,0.0014304456392209,0.00385,-0.0017420631314736,0.123308333333333,0.123525,0.0005581157383971,0.0014249999999999,0.0016725434467971,0.177133333333333,0.17705,0.0005831711505695,0.0015249999999999,0.0042660498585791,0.139713333333333,0.1397,0.0005178650302238,0.0015,0.0020176139822079,21.8995,21.8775,0.119168904498341,0.307499999999998,0.0025844320971412,1.43044833333333,1.430775,0.0027875459403069,0.0076499999999999,-0.0002051035023772
2001-05-01,0.203727,0.20372,0.0011010199637301,0.00292,0.0076432856131329,0.124996666666667,0.12511,0.000523799746151,0.0014199999999999,0.0018095181199364,0.178362333333333,0.17828,0.0004344472596587,0.0011399999999999,0.0004554083381094,0.141175,0.14118,0.0003675445296966,0.0009999999999999,0.0015790684530025,21.6481,21.67,0.184597825245328,0.490000000000001,-0.0033007474215368,1.42212566666667,1.42212,0.002170269175365,0.0059,-0.0009072245385809
2001-06-01,0.20667875,0.20645,0.0008432485174325,0.0022999999999999,-0.001967215097732,0.12612625,0.126225,0.0006110813398751,0.0015999999999999,-0.0016943851152573,0.17661875,0.1765125,0.0004897756558229,0.001275,0.0014370285612087,0.14107125,0.1410375,0.000176628921241,0.000475,0.0015963760077345,21.65475,21.625,0.116121557681437,0.3125,0.0100776795843847,1.42255625,1.4227625,0.0010335351932384,0.0028499999999999,-0.0010012751574306
2001-07-01,0.201195,0.20192,0.0024998309132699,0.0066,-0.0298475460747483,0.123157,0.1231,0.0005238244374024,0.0014399999999999,-0.0077138842929731,0.174617,0.17455,0.000524564698423,0.00134,-0.0057952101632335,0.139278,0.13919,0.0004513922292588,0.0012,-0.0075447875681123,21.7349,21.722,0.0956534395642093,0.26,-0.0086780786794994,1.433665,1.43422,0.0028041552653384,0.0074799999999999,0.0045428018834968
2001-08-01,0.192885,0.192775,0.0010274156036722,0.002925,-0.0095156405315083,0.121165,0.121175,0.0004280455747414,0.001175,-0.0055508242063817,0.17435,0.1743,0.0005252884480884,0.00135,0.0015918349476586,0.13663,0.13665,0.0003803834601387,0.0011249999999999,-0.0042066713212724,21.0735,21.0675,0.105073289309517,0.292499999999999,-0.0103663199176844,1.451045,1.451225,0.0021577571843107,0.00615,0.0026208458314993
2001-09-01,0.18738375,0.1873125,0.0011731870511873,0.0033499999999999,-0.0122902000952143,0.11668375,0.1165875,0.0005654399393285,0.0015,-0.0115140638175151,0.170745,0.1709,0.0005952356648064,0.001525,-0.0052979165359397,0.13283625,0.13285,0.0004940206029408,0.0013749999999999,-0.0095904133846357,19.262265,20.28,2.15989570699103,5.458675,24.9677341036282,1.47711875,1.4770125,0.0036310806690057,0.0099749999999999,0.0062140484956259
2001-10-01,0.180087,0.18018,0.0007958784915546,0.00214,0.0011567972395905,0.11235,0.11244,0.0006582909716215,0.0017399999999999,-0.0030019963159448,0.16305,0.163,0.0008188933665795,0.0022199999999999,-0.0024785573938133,0.127635,0.12763,0.0006143519777503,0.0016799999999999,-0.0021331630358888,19.793,19.795,0.113973840853465,0.295999999999999,-0.0020457193696302,1.499107,1.5164,0.0354490749519191,0.08458,0.0011244542651563
2001-11-01,0.178095,0.1783,0.0012228518005799,0.0032499999999999,-0.0088334413348286,0.11013,0.11015,0.0008055985612356,0.0020749999999999,-0.0064372453100477,0.1579,0.157875,0.0009030336739994,0.0021749999999999,-0.0093514248738055,0.12466,0.124675,0.0007768102366439,0.001925,-0.0083941077480457,18.37673,19.325,2.02439947318001,5.12885,-0.0076135856936245,1.54316,1.542775,0.0070508437355599,0.0174999999999999,0.0064459497255954
2001-12-01,0.161228333333333,0.161825,0.0029851327579079,0.0083499999999999,-0.017382361812167,0.0997649999999999,0.099975,0.0018040265613555,0.0049499999999999,-0.017757900560383,0.14383,0.14435,0.0024480906098239,0.0067,-0.0155804240159218,0.114133333333333,0.11455,0.0019470544643804,0.005425,-0.0147721125960289,18.344,18.425,0.27467972199775,0.737500000000001,0.005070319885694,1.67745,1.671925,0.0223805022686984,0.0618,0.0220214333808221
2002-01-01,0.165169333333333,0.16548,0.0018455484094133,0.00494,0.0156791045740964,0.101834666666667,0.10212,0.001047568028133,0.00284,0.0120832880059643,0.145881333333333,0.14628,0.0013485603315121,0.0036999999999999,0.0093771302167526,0.116845333333333,0.11708,0.0011327282207172,0.00312,0.0112026703990466,19.3473333333333,19.36,0.187061316474645,0.524000000000001,0.0086011519573315,1.699204,1.6997,0.0065723693452711,0.0179199999999999,-0.0050240576951133
