Date,FAO_CP_23012,FAO_CP_23013,FAO_CP_23014,REF_AREA,REF_AREA_LABEL
2001-08-01,27.047835,23.591891,5.367976,KEN,Kenya
2001-08-01,41.738316,35.68262,10.007922,NAM,Namibia
2001-08-01,48.787636,37.15499,3.956479,ZAF,South Africa
2001-08-01,90.526192,92.280426,1.861816,ZWE,Zimbabwe
2001-09-01,35.776656,33.788045,2.356638,BWA,Botswana
2001-09-01,26.965934,23.495062,4.095033,KEN,Kenya
2001-09-01,42.070887,35.999018,10.375087,NAM,Namibia
2001-09-01,48.925844,37.50851,4.635092,ZAF,South Africa
2001-09-01,90.597225,92.420983,1.858931,ZWE,Zimbabwe
2001-10-01,35.952896,33.842976,2.576765,BWA,Botswana
2001-10-01,27.006884,23.42901,4.275592,KEN,Kenya
2001-10-01,42.403459,36.315416,10.738248,NAM,Namibia
2001-10-01,48.87979,38.038791,6.32412,ZAF,South Africa
2001-10-01,90.668258,92.561541,1.856056,ZWE,Zimbabwe
2001-11-01,36.053604,34.160093,3.592213,BWA,Botswana
2001-11-01,26.945459,23.379324,2.852415,KEN,Kenya
2001-11-01,42.73603,36.631814,11.097472,NAM,Namibia
2001-11-01,49.110121,38.710483,8.523282,ZAF,South Africa
2001-11-01,90.739292,92.702098,1.85319,ZWE,Zimbabwe
2001-12-01,36.103958,34.47721,4.608727,BWA,Botswana
2001-12-01,26.84513,23.35993,2.125098,KEN,Kenya
2001-12-01,43.068601,36.948211,11.452823,NAM,Namibia
2001-12-01,49.386553,39.664982,11.420016,ZAF,South Africa
2001-12-01,90.810325,92.842655,1.850332,ZWE,Zimbabwe
2002-01-01,36.229844,34.794327,5.239702,BWA,Botswana
2002-01-01,26.777561,23.059345,0.610673,KEN,Kenya
2002-01-01,45.428372,37.264609,11.34455,NAM,Namibia
2002-01-01,50.215801,40.336674,12.303151,ZAF,South Africa
2002-01-01,90.881358,92.983213,1.847484,ZWE,Zimbabwe
2002-02-01,36.280198,35.111444,5.618992,BWA,Botswana
2002-02-01,26.812369,22.591119,1.590695,KEN,Kenya
2002-02-01,46.319124,38.036057,12.585233,NAM,Namibia
2002-02-01,50.822046,40.704449,12.113274,ZAF,South Africa
2002-02-01,90.952391,93.12377,1.844644,ZWE,Zimbabwe
2002-03-01,36.758563,35.428561,6.406912,BWA,Botswana
2002-03-01,26.857415,22.560452,2.690896,KEN,Kenya
2002-03-01,47.209876,38.645378,13.32746,NAM,Namibia
2002-03-01,51.331859,41.472829,13.786453,ZAF,South Africa
2002-03-01,91.023425,93.264328,1.841812,ZWE,Zimbabwe
2002-04-01,37.211751,35.745678,7.2758,BWA,Botswana
2002-04-01,26.957744,22.652159,1.135065,KEN,Kenya
2002-04-01,47.299561,39.338864,14.300584,NAM,Namibia
2002-04-01,52.206799,42.25434,15.482588,ZAF,South Africa
2002-04-01,91.094458,93.404885,1.83899,ZWE,Zimbabwe
2002-05-01,37.312459,36.062794,7.724501,BWA,Botswana
2002-05-01,27.365202,23.310834,2.262944,KEN,Kenya
2002-05-01,48.034245,39.701621,14.303788,NAM,Namibia
2002-05-01,52.46169,42.569574,15.562524,ZAF,South Africa
2002-05-01,91.165491,93.545442,1.836176,ZWE,Zimbabwe
2002-06-01,37.463522,36.379911,8.50368,BWA,Botswana
2002-06-01,27.709186,24.002786,3.787563,KEN,Kenya
2002-06-01,48.356112,40.333847,15.075749,NAM,Namibia
2002-06-01,52.909491,43.34452,17.779318,ZAF,South Africa
2002-06-01,91.236525,93.686,1.833371,ZWE,Zimbabwe
2002-07-01,38.672022,36.697028,9.027878,BWA,Botswana
2002-07-01,27.565859,24.023765,2.808799,KEN,Kenya
2002-07-01,48.836356,40.569098,14.711427,NAM,Namibia
2002-07-01,53.749981,43.935592,18.814753,ZAF,South Africa
2002-07-01,91.307558,93.826557,1.830574,ZWE,Zimbabwe
2002-08-01,39.150387,37.014145,9.716459,BWA,Botswana
2002-08-01,27.537194,24.158485,2.401649,KEN,Kenya
2002-08-01,49.172711,40.742326,14.17975,NAM,Namibia
2002-08-01,54.039338,44.697392,20.299835,ZAF,South Africa
2002-08-01,91.378591,93.967114,1.827786,ZWE,Zimbabwe
2002-09-01,39.402158,37.331262,10.486601,BWA,Botswana
2002-09-01,27.445055,24.048674,2.356289,KEN,Kenya
2002-09-01,49.783108,41.683473,15.790585,NAM,Namibia
2002-09-01,54.514701,45.564289,21.477201,ZAF,South Africa
2002-09-01,91.449624,94.107672,1.825006,ZWE,Zimbabwe
2002-10-01,39.553221,37.648379,11.244292,BWA,Botswana
2002-10-01,27.512624,24.016644,2.508148,KEN,Kenya
2002-10-01,50.402054,42.89215,18.110034,NAM,Namibia
2002-10-01,55.327629,46.339234,21.820997,ZAF,South Africa
2002-10-01,91.520658,94.248229,1.822235,ZWE,Zimbabwe
2002-11-01,39.830169,37.965496,11.139908,BWA,Botswana
2002-11-01,27.63957,24.178011,3.416213,KEN,Kenya
2002-11-01,50.821185,43.556513,18.903513,NAM,Namibia
2002-11-01,55.988999,46.661034,20.538497,ZAF,South Africa
2002-11-01,91.591691,94.388786,1.819472,ZWE,Zimbabwe
