Date,BDI_Close_mean,BDI_Close_median,BDI_Close_min,BDI_Close_max,BDI_Close_range,BDI_Close_std,BDI_Close_variance,BDI_Close_first,BDI_Close_last,BDI_Close_pct_change,BDI_Close_count,BDI_High_mean,BDI_High_median,BDI_High_min,BDI_High_max,BDI_High_range,BDI_High_std,BDI_High_variance,BDI_High_first,BDI_High_last,BDI_High_pct_change,BDI_High_count,BDI_Low_mean,BDI_Low_median,BDI_Low_min,BDI_Low_max,BDI_Low_range,BDI_Low_std,BDI_Low_variance,BDI_Low_first,BDI_Low_last,BDI_Low_pct_change,BDI_Low_count
2000-01-01,1357.0400000000002,1357.2,1280.0,1406.0,37.2,13.992714233758786,212.67600000000002,1320.0,1280.0,-0.00481227757551623,24,1357.0400000000002,1357.2,1280.0,1406.0,37.2,13.992714233758786,212.67600000000002,1320.0,1280.0,-0.00481227757551623,24,1357.0400000000002,1357.2,1280.0,1406.0,37.2,13.992714233758786,212.67600000000002,1320.0,1280.0,-0.00481227757551623,24
2000-02-01,1438.25,1437.5,1276.0,1578.0,65.0,23.524330293678087,590.26,1276.0,1578.0,0.04686195407093681,20,1438.25,1437.5,1276.0,1578.0,65.0,23.524330293678087,590.26,1276.0,1578.0,0.04686195407093681,20,1438.25,1437.5,1276.0,1578.0,65.0,23.524330293678087,590.26,1276.0,1578.0,0.04686195407093681,20
2000-03-01,1629.5000000000002,1629.0,1588.0,1660.0,31.0,11.474918413387812,172.92,1588.0,1660.0,0.010256713687651707,20,1629.5000000000002,1629.0,1588.0,1660.0,31.0,11.474918413387812,172.92,1588.0,1660.0,0.010256713687651707,20,1629.5000000000002,1629.0,1588.0,1660.0,31.0,11.474918413387812,172.92,1588.0,1660.0,0.010256713687651707,20
2000-04-01,1665.875,1666.25,1628.0,1686.0,14.75,5.528651035269411,33.80625,1669.0,1628.0,-0.00436330887958519,17,1665.875,1666.25,1628.0,1686.0,14.75,5.528651035269411,33.80625,1669.0,1628.0,-0.00436330887958519,17,1665.875,1666.25,1628.0,1686.0,14.75,5.528651035269411,33.80625,1669.0,1628.0,-0.00436330887958519,17
2000-05-01,1597.9199999999998,1597.1,1562.0,1622.0,12.8,4.829191928816607,33.485,1622.0,1562.0,-0.0057314852585701945,22,1597.9199999999998,1597.1,1562.0,1622.0,12.8,4.829191928816607,33.485,1622.0,1562.0,-0.0057314852585701945,22,1597.9199999999998,1597.1,1562.0,1622.0,12.8,4.829191928816607,33.485,1622.0,1562.0,-0.0057314852585701945,22
2000-06-01,1591.3,1591.0,1559.0,1626.0,16.75,6.282287867845688,54.660000000000004,1561.0,1616.0,0.0071609195162142605,20,1591.3,1591.0,1559.0,1626.0,16.75,6.282287867845688,54.660000000000004,1561.0,1616.0,0.0071609195162142605,20,1591.3,1591.0,1559.0,1626.0,16.75,6.282287867845688,54.660000000000004,1561.0,1616.0,0.0071609195162142605,20
2000-07-01,1622.69,1622.3,1600.0,1648.0,9.6,3.529268270674354,14.729500000000002,1613.0,1648.0,0.002720443299336038,24,1622.69,1622.3,1600.0,1648.0,9.6,3.529268270674354,14.729500000000002,1613.0,1648.0,0.002720443299336038,24,1622.69,1622.3,1600.0,1648.0,9.6,3.529268270674354,14.729500000000002,1613.0,1648.0,0.002720443299336038,24
2000-08-01,1639.3875,1637.875,1627.0,1661.0,12.5,4.6347724455855195,24.721875,1651.0,1661.0,0.001695144867973446,19,1639.3875,1637.875,1627.0,1661.0,12.5,4.6347724455855195,24.721875,1651.0,1661.0,0.001695144867973446,19,1639.3875,1637.875,1627.0,1661.0,12.5,4.6347724455855195,24.721875,1651.0,1661.0,0.001695144867973446,19
2000-09-01,1714.0499999999997,1713.75,1666.0,1740.0,16.25,6.00544700907032,50.0,1666.0,1739.0,0.009031997797525372,20,1714.0499999999997,1713.75,1666.0,1740.0,16.25,6.00544700907032,50.0,1666.0,1739.0,0.009031997797525372,20,1714.0499999999997,1713.75,1666.0,1740.0,16.25,6.00544700907032,50.0,1666.0,1739.0,0.009031997797525372,20
2000-10-01,1737.48,1737.4,1718.0,1762.0,10.0,3.6276235934249472,17.104000000000003,1735.0,1762.0,0.0021909446501423317,25,1737.48,1737.4,1718.0,1762.0,10.0,3.6276235934249472,17.104000000000003,1735.0,1762.0,0.0021909446501423317,25,1737.48,1737.4,1718.0,1762.0,10.0,3.6276235934249472,17.104000000000003,1735.0,1762.0,0.0021909446501423317,25
2000-11-01,1713.65,1713.25,1664.0,1761.0,21.5,7.6618652121697055,64.18,1761.0,1664.0,-0.012479209165689916,20,1713.65,1713.25,1664.0,1761.0,21.5,7.6618652121697055,64.18,1761.0,1664.0,-0.012479209165689916,20,1713.65,1713.25,1664.0,1761.0,21.5,7.6618652121697055,64.18,1761.0,1664.0,-0.012479209165689916,20
