Date,BDI_Close_mean,BDI_Close_median,BDI_Close_min,BDI_Close_max,BDI_Close_range,BDI_Close_std,BDI_Close_variance,BDI_Close_first,BDI_Close_last,BDI_Close_pct_change,BDI_Close_count,BDI_High_mean,BDI_High_median,BDI_High_min,BDI_High_max,BDI_High_range,BDI_High_std,BDI_High_variance,BDI_High_first,BDI_High_last,BDI_High_pct_change,BDI_High_count,BDI_Low_mean,BDI_Low_median,BDI_Low_min,BDI_Low_max,BDI_Low_range,BDI_Low_std,BDI_Low_variance,BDI_Low_first,BDI_Low_last,BDI_Low_pct_change,BDI_Low_count
2000-01-03,1342.0,1340.0,1320.0,1368.0,48.0,18.774983355518586,352.5,1320.0,1368.0,0.03636363636363636,4,1342.0,1340.0,1320.0,1368.0,48.0,18.774983355518586,352.5,1320.0,1368.0,0.03636363636363636,4,1342.0,1340.0,1320.0,1368.0,48.0,18.774983355518586,352.5,1320.0,1368.0,0.03636363636363636,4
2000-01-10,1393.4,1396.0,1376.0,1404.0,28.0,10.423051376636307,108.64000000000001,1376.0,1404.0,0.020348837209302327,5,1393.4,1396.0,1376.0,1404.0,28.0,10.423051376636307,108.64000000000001,1376.0,1404.0,0.020348837209302327,5,1393.4,1396.0,1376.0,1404.0,28.0,10.423051376636307,108.64000000000001,1376.0,1404.0,0.020348837209302327,5
2000-01-17,1397.6,1400.0,1384.0,1406.0,22.0,8.212186067059125,67.44000000000001,1406.0,1384.0,-0.015647226173541962,5,1397.6,1400.0,1384.0,1406.0,22.0,8.212186067059125,67.44000000000001,1406.0,1384.0,-0.015647226173541962,5,1397.6,1400.0,1384.0,1406.0,22.0,8.212186067059125,67.44000000000001,1406.0,1384.0,-0.015647226173541962,5
2000-01-24,1353.8,1354.0,1329.0,1378.0,49.0,17.848249213858484,318.55999999999995,1378.0,1329.0,-0.03555878084179971,5,1353.8,1354.0,1329.0,1378.0,49.0,17.848249213858484,318.55999999999995,1378.0,1329.0,-0.03555878084179971,5,1353.8,1354.0,1329.0,1378.0,49.0,17.848249213858484,318.55999999999995,1378.0,1329.0,-0.03555878084179971,5
2000-01-31,1298.4,1296.0,1280.0,1319.0,39.0,14.705101155721438,216.24,1319.0,1280.0,-0.029567854435178165,5,1298.4,1296.0,1280.0,1319.0,39.0,14.705101155721438,216.24,1319.0,1280.0,-0.029567854435178165,5,1298.4,1296.0,1280.0,1319.0,39.0,14.705101155721438,216.24,1319.0,1280.0,-0.029567854435178165,5
2000-02-07,1301.6,1293.0,1276.0,1345.0,69.0,26.28763968103641,691.04,1276.0,1345.0,0.054075235109717866,5,1301.6,1293.0,1276.0,1345.0,69.0,26.28763968103641,691.04,1276.0,1345.0,0.054075235109717866,5,1301.6,1293.0,1276.0,1345.0,69.0,26.28763968103641,691.04,1276.0,1345.0,0.054075235109717866,5
2000-02-14,1413.8,1419.0,1365.0,1454.0,89.0,31.75783367926723,1008.5599999999998,1365.0,1454.0,0.0652014652014652,5,1413.8,1419.0,1365.0,1454.0,89.0,31.75783367926723,1008.5599999999998,1365.0,1454.0,0.0652014652014652,5,1413.8,1419.0,1365.0,1454.0,89.0,31.75783367926723,1008.5599999999998,1365.0,1454.0,0.0652014652014652,5
2000-02-21,1490.0,1491.0,1466.0,1511.0,45.0,15.620499351813308,244.0,1466.0,1511.0,0.030695770804911322,5,1490.0,1491.0,1466.0,1511.0,45.0,15.620499351813308,244.0,1466.0,1511.0,0.030695770804911322,5,1490.0,1491.0,1466.0,1511.0,45.0,15.620499351813308,244.0,1466.0,1511.0,0.030695770804911322,5
2000-02-28,1547.6,1547.0,1521.0,1578.0,57.0,20.431348462595412,417.43999999999994,1521.0,1578.0,0.03747534516765286,5,1547.6,1547.0,1521.0,1578.0,57.0,20.431348462595412,417.43999999999994,1521.0,1578.0,0.03747534516765286,5,1547.6,1547.0,1521.0,1578.0,57.0,20.431348462595412,417.43999999999994,1521.0,1578.0,0.03747534516765286,5
2000-03-06,1617.4,1618.0,1588.0,1645.0,57.0,20.684293558156632,427.84,1588.0,1645.0,0.03589420654911839,5,1617.4,1618.0,1588.0,1645.0,57.0,20.684293558156632,427.84,1588.0,1645.0,0.03589420654911839,5,1617.4,1618.0,1588.0,1645.0,57.0,20.684293558156632,427.84,1588.0,1645.0,0.03589420654911839,5
2000-03-13,1639.4,1640.0,1630.0,1649.0,19.0,7.116178749862878,50.64,1649.0,1630.0,-0.011522134627046696,5,1639.4,1640.0,1630.0,1649.0,19.0,7.116178749862878,50.64,1649.0,1630.0,-0.011522134627046696,5,1639.4,1640.0,1630.0,1649.0,19.0,7.116178749862878,50.64,1649.0,1630.0,-0.011522134627046696,5
2000-03-20,1621.4,1620.0,1617.0,1628.0,11.0,4.079215610874228,16.64,1628.0,1618.0,-0.006142506142506142,5,1621.4,1620.0,1617.0,1628.0,11.0,4.079215610874228,16.64,1628.0,1618.0,-0.006142506142506142,5,1621.4,1620.0,1617.0,1628.0,11.0,4.079215610874228,16.64,1628.0,1618.0,-0.006142506142506142,5
