,lb_stat,lb_pvalue
1,50.96042320755555,9.424720927753695e-13
3,113.25242790485343,2.1892571414487965e-24
6,147.1333305577535,3.1227755124612774e-29
12,153.87592784054533,9.259000032244701e-27
