number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5629415436630829,2026-07-24 15:00:43.950227,2026-07-24 15:00:44.454782,0 days 00:00:00.504555,0.8253921622809783,0.08265243911156489,10,40,199,47,4.234192980847336e-08,2.163428944836469e-06,0.8384735546436518,COMPLETE
1,0.5534370805230152,2026-07-24 15:00:44.480433,2026-07-24 15:00:46.779849,0 days 00:00:02.299416,0.9683577347018648,0.06292691795570775,6,7,475,79,7.181791458882546e-07,8.570630698178648e-05,0.7508509597577977,COMPLETE
2,0.4850891625021319,2026-07-24 15:00:46.801776,2026-07-24 15:00:51.400481,0 days 00:00:04.598705,0.9681949312103559,0.010697536177510883,12,13,756,61,1.4402471156698057e-07,0.0003573965362487956,0.8419714717326107,COMPLETE
3,0.3806029428227399,2026-07-24 15:00:51.425490,2026-07-24 15:00:53.619899,0 days 00:00:02.194409,0.817090404198056,0.06120975269047972,5,22,638,49,1.5235948316708952e-05,0.1945465343045347,0.7803346412847707,COMPLETE
4,0.3582900734152176,2026-07-24 15:00:53.646444,2026-07-24 15:00:56.612739,0 days 00:00:02.966295,0.8800898119729154,0.02340380092265066,5,21,650,58,1.6659921932169083e-05,9.854532902719037e-05,0.7735424280805382,COMPLETE
5,0.495260687257758,2026-07-24 15:00:56.636023,2026-07-24 15:00:57.807774,0 days 00:00:01.171751,0.7992587504397298,0.03059962331390113,4,31,618,88,0.003299525192263966,0.00035378984079451785,0.7978309152750991,COMPLETE
6,0.40984401423954386,2026-07-24 15:00:57.825415,2026-07-24 15:00:59.406605,0 days 00:00:01.581190,0.9844139130510241,0.010038715393159925,10,23,420,16,0.008722623652613656,2.898443817296261e-08,0.8936561622309391,COMPLETE
7,0.5883346213210366,2026-07-24 15:00:59.424486,2026-07-24 15:01:00.229148,0 days 00:00:00.804662,0.8153133987009408,0.04976745494183257,12,39,351,28,0.20892032956379974,1.3820620601092508e-07,0.9469403082931911,COMPLETE
8,0.5119984200431604,2026-07-24 15:01:00.248778,2026-07-24 15:01:02.434059,0 days 00:00:02.185281,0.7635491593853551,0.035036927309826715,7,9,350,74,4.105206779063718e-06,2.7522743221960336e-07,0.7702377853965254,COMPLETE
9,0.47065497724809047,2026-07-24 15:01:02.452862,2026-07-24 15:01:03.980373,0 days 00:00:01.527511,0.9223747605403638,0.03365354264215483,10,23,420,76,0.5229979389007592,0.007431870516159504,0.811220603657147,COMPLETE
10,0.3729776019895081,2026-07-24 15:01:04.003171,2026-07-24 15:01:05.528816,0 days 00:00:01.525645,0.6647078770539301,0.12572211425643706,3,16,746,33,0.00012989203792379878,4.184460419232898,0.66532766424687,COMPLETE
11,0.4412401395856542,2026-07-24 15:01:05.546742,2026-07-24 15:01:07.681561,0 days 00:00:02.134819,0.6612535292820487,0.14442133467635107,3,16,793,34,8.210247413082666e-05,2.1150675673626784,0.6589651303927359,COMPLETE
12,0.32157870175396824,2026-07-24 15:01:07.699948,2026-07-24 15:01:08.960119,0 days 00:00:01.260171,0.6517266573425348,0.01815390891926979,3,17,647,8,0.00016213099282802104,4.673224899484505,0.6578937228886906,COMPLETE
13,0.43335322636107626,2026-07-24 15:01:08.980700,2026-07-24 15:01:10.524395,0 days 00:00:01.543695,0.7234991894760413,0.01837631821622592,7,28,607,8,0.001160754210586364,0.027828618626872144,0.7123347706066058,COMPLETE
14,0.4129795572522236,2026-07-24 15:01:10.544587,2026-07-24 15:01:13.977544,0 days 00:00:03.432957,0.8792124456981718,0.01802458026314614,5,18,680,59,0.0004153002540243651,1.0081319213729653e-05,0.7040836713872193,COMPLETE
15,0.4554740465872002,2026-07-24 15:01:14.004439,2026-07-24 15:01:15.764491,0 days 00:00:01.760052,0.7168902583600065,0.017784656179815166,4,28,548,93,0.045496807192841826,0.00391147874184476,0.7313636280385165,COMPLETE
16,0.5279133188389948,2026-07-24 15:01:15.789279,2026-07-24 15:01:20.670256,0 days 00:00:04.880977,0.8816217150100812,0.02397627364673635,8,12,541,21,7.210208197555763e-06,0.12052495867202077,0.9774082973360533,COMPLETE
17,0.4774987558379989,2026-07-24 15:01:20.689129,2026-07-24 15:01:22.789244,0 days 00:00:02.100115,0.8747706715925756,0.015111212809549445,5,20,701,45,1.1302956023103301e-06,8.763041075592721e-06,0.8966072399567779,COMPLETE
18,0.5279415710540883,2026-07-24 15:01:22.809383,2026-07-24 15:01:23.666842,0 days 00:00:00.857459,0.708447664945675,0.02325631704163623,3,32,540,59,3.3592961464374382,0.6094161305842823,0.6853277502916383,COMPLETE
19,0.362398946396013,2026-07-24 15:01:23.682764,2026-07-24 15:01:24.588292,0 days 00:00:00.905528,0.766061939661427,0.012909244212332515,4,5,161,67,3.655101442413658e-05,0.0009117350778599596,0.8679496209884467,COMPLETE
