number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.38825670922604516,2026-07-24 14:30:35.403882,2026-07-24 14:30:36.144727,0 days 00:00:00.740845,0.8253921622809783,0.08265243911156489,10,40,199,47,4.234192980847336e-08,2.163428944836469e-06,0.8384735546436518,COMPLETE
1,0.3645172617679623,2026-07-24 14:30:36.168413,2026-07-24 14:30:39.491934,0 days 00:00:03.323521,0.9683577347018648,0.06292691795570775,6,7,475,79,7.181791458882546e-07,8.570630698178648e-05,0.7508509597577977,COMPLETE
2,0.3558484412256845,2026-07-24 14:30:39.515948,2026-07-24 14:30:44.731365,0 days 00:00:05.215417,0.9681949312103559,0.010697536177510883,12,13,756,61,1.4402471156698057e-07,0.0003573965362487956,0.8419714717326107,COMPLETE
3,0.5136390496573662,2026-07-24 14:30:44.755141,2026-07-24 14:30:47.039372,0 days 00:00:02.284231,0.817090404198056,0.06120975269047972,5,22,638,49,1.5235948316708952e-05,0.1945465343045347,0.7803346412847707,COMPLETE
4,0.452910274172063,2026-07-24 14:30:47.058186,2026-07-24 14:30:49.250181,0 days 00:00:02.191995,0.8800898119729154,0.02340380092265066,5,21,650,58,1.6659921932169083e-05,9.854532902719037e-05,0.7735424280805382,COMPLETE
5,0.5260931594672549,2026-07-24 14:30:49.268730,2026-07-24 14:30:50.939758,0 days 00:00:01.671028,0.7992587504397298,0.03059962331390113,4,31,618,88,0.003299525192263966,0.00035378984079451785,0.7978309152750991,COMPLETE
6,0.43169152940056843,2026-07-24 14:30:50.957614,2026-07-24 14:30:52.814979,0 days 00:00:01.857365,0.9844139130510241,0.010038715393159925,10,23,420,16,0.008722623652613656,2.898443817296261e-08,0.8936561622309391,COMPLETE
7,0.35283718162488514,2026-07-24 14:30:52.835634,2026-07-24 14:30:53.771840,0 days 00:00:00.936206,0.8153133987009408,0.04976745494183257,12,39,351,28,0.20892032956379974,1.3820620601092508e-07,0.9469403082931911,COMPLETE
8,0.2637238511445742,2026-07-24 14:30:53.795830,2026-07-24 14:30:55.883015,0 days 00:00:02.087185,0.7635491593853551,0.035036927309826715,7,9,350,74,4.105206779063718e-06,2.7522743221960336e-07,0.7702377853965254,COMPLETE
9,0.44199550201986815,2026-07-24 14:30:55.906184,2026-07-24 14:30:57.845026,0 days 00:00:01.938842,0.9223747605403638,0.03365354264215483,10,23,420,76,0.5229979389007592,0.007431870516159504,0.811220603657147,COMPLETE
10,0.8785911342777588,2026-07-24 14:30:57.864568,2026-07-24 14:30:59.331136,0 days 00:00:01.466568,0.6647078770539301,0.12572211425643706,7,8,241,94,0.00018825643498152084,4.184460419232898,0.6651698695460427,COMPLETE
11,0.23507015500102266,2026-07-24 14:30:59.352268,2026-07-24 14:31:00.235168,0 days 00:00:00.882900,0.7351813967918586,0.040757922974137974,8,40,323,8,3.790720165734351,1.3390666484843385e-08,0.9932078533694901,COMPLETE
12,0.42245479781500495,2026-07-24 14:31:00.256928,2026-07-24 14:31:01.367172,0 days 00:00:01.110244,0.7100336928785079,0.01824497204258426,8,30,289,8,0.018549138458123116,7.262852246808326e-07,0.9909497942979801,COMPLETE
13,0.6674282143723389,2026-07-24 14:31:01.389040,2026-07-24 14:31:02.108375,0 days 00:00:00.719335,0.7447061331650656,0.03968064229508517,8,15,154,30,4.711780759784874,1.0751858384127816e-08,0.6731241329638261,COMPLETE
14,0.40805708930879686,2026-07-24 14:31:02.129680,2026-07-24 14:31:03.895500,0 days 00:00:01.765820,0.7349793844174116,0.02228256347806299,8,33,516,38,0.00011891804632439418,2.4632143716460224e-06,0.9166014461538525,COMPLETE
15,0.6332387359353377,2026-07-24 14:31:03.916910,2026-07-24 14:31:05.677316,0 days 00:00:01.760406,0.6571598755866697,0.016475462852677435,3,15,323,70,1.2503146846061662e-06,1.79184455938502e-07,0.7222751952691691,COMPLETE
16,0.4768285606785546,2026-07-24 14:31:05.697668,2026-07-24 14:31:06.858390,0 days 00:00:01.160722,0.7701602068020805,0.09391273143019949,7,35,368,22,0.0007171887050931779,8.832162623320132e-06,0.9914050484755013,COMPLETE
17,0.49598575674328177,2026-07-24 14:31:06.884329,2026-07-24 14:31:08.086543,0 days 00:00:01.202214,0.7081537262358588,0.04552245523004882,9,27,263,41,0.09112048883831039,7.201328935992537e-08,0.8791677787920563,COMPLETE
18,0.401739523905536,2026-07-24 14:31:08.106877,2026-07-24 14:31:10.946869,0 days 00:00:02.839992,0.8896913149880658,0.03062600116770148,6,10,533,59,1.120801414646573e-08,1.2338235896409388e-08,0.7088115778236579,COMPLETE
19,0.6792926053218887,2026-07-24 14:31:11.494830,2026-07-24 14:31:13.025724,0 days 00:00:01.530894,0.8578057957754734,0.07249772247003235,9,5,401,84,4.48243800488811,1.463915852137246e-05,0.9439480932250788,COMPLETE
