"indicator","Unit","Date","Value"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M2","101.1"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M3","101.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M4","102"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M5","102.1"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M6","102.4"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M7","102.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M8","102.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M9","102.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M10","102.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M11","103"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2017M12","103.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M1","103.8"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M2","104.1"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M3","104.4"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M4","105.4"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M5","105.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M6","106.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M7","106.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M8","106.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M9","106.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M10","107.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M11","107.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2018M12","108"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M1","100.4"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M2","100.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M3","100.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M4","101.3"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M5","101.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M6","101.2"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M7","101.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M8","101.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M9","101.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M10","101.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M11","101.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2019M12","101.8"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M1","102.2"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M2","102.4"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M3","102.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M4","102.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M5","103"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M6","102.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M7","102.9"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M8","103.1"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M9","104"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M10","104.4"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M11","104.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2020M12","104.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M1","105.3"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M2","105.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M3","106.2"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M4","109.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M5","110"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M6","111"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M7","113"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M8","113.1"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M9","113.1"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M10","113.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M11","113.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2021M12","113.9"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M1","116.2"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M2","116.6"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M3","116.9"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M4","119.9"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M5","121.9"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M6","123.7"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M7","125.8"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M8","126.1"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M9","126"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M10","126.3"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M11","125.9"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2022M12","126.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M1","127"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M2","127"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M3","128.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M4","128.9"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M5","126"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M6","126.667931969068"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M7","126.3"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M8","126.4"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M9","127.3834"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M10","128.5"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M11","132.031700481981"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2023M12","131.760302434316"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M1","132.9"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M2","132.428983633489"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M3","132.390497615297"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M4","131.961301038241"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M5","132.833115329096"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M6","132.925380481211"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M7","133.399388029022"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M8","133.792929373917"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M9","130.310101128619"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M10","130.513649177863"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M11","130.742519949872"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2024M12","131.175572912615"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M1","131.887974872716"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M2","132.26190497893"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M3","132.393482118862"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M4","132.697188295286"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M5","133.826630521509"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M6","134.255734712108"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M7","134.537329288207"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M8","135.252863878552"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M9","138.500170747681"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M10","138.746746788904"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M11","138.76437094782"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2025M12","139.080431564149"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2026M1","139.900891696489"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2026M2","140.3"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2026M3","140.933398936545"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2026M4","148.651772624261"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2026M5","149.112482036653"
"Consumer Price Index (Trimmed Mean) (September 2016 = 100)","Index Sep 2016 = 100","2026M6","149.272314435985"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M1","2.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M2","2.6"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M3","2.5"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M4","2.4"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M5","2.3"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M6","2.4"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M7","2.5"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M8","2.4"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M9","2.6"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M10","2.2"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M11","2.5"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2016M12","2.5"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M1","2.7"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M2","2.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M3","3.1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M4","3.1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M5","3.1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M6","2.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M7","2.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M8","2.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M9","2.7"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M10","2.6"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M11","2.5"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2017M12","2.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M1","2.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M2","2.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M3","2.6"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M4","3.1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M5","3"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M6","3.2"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M7","3.1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M8","3"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M9","2.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M10","3.7"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2018M11","3.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M1","1.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M2","1.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M3","1.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M4","1.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M5","1.6"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M6","1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M7","1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M8","1.1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M9","1.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M10","2.2"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M11","2.2"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2020M12","2.1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M1","2.2"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M2","2.4"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M3","2.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M4","5.4"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M5","5.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M6","7.9"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M7","8.4"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M8","8.3"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M9","8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M10","8.2"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M11","8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2021M12","8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M1","8.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M2","8.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M3","8.6"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M4","8.1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M5","9.4"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M6","10.3"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M7","11.5"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M8","11.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M9","11.4"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M10","11.1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M11","10.8"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2022M12","11.2"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M1","8.5"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M2","8.2"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M3","9.2"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M4","7.1"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M5","5.4"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M6","4.30068578262968"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M7","2.5"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M8","2.4"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M9","3.3092"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M10","3.2"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M11","3.668946573952"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2023M12","3.29776203220475"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M1","3.7"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M2","3.6728873772861"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M3","2.62577424913826"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M4","2.88970292159474"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M5","2.80927451973829"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M6","2.59406635400927"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M7","3.49501759885833"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M8","3.65742243534628"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M9","1.49393181087187"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M10","1.5712500663323"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M11","1.66953996430965"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2024M12","1.72448291635636"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M1","2.15858670699836"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M2","2.36333425947055"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M3","2.48038744248018"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M4","2.28463958365395"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M5","1.81925425067562"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M6","1.98666510556875"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M7","1.37284691434063"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M8","1.62404480174754"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M9","4.24650354691645"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M10","4.45121043703451"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M11","4.26676959111287"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2025M12","4.46231802618575"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2026M1","4.62217873399171"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2026M2","4.6"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2026M3","4.77347848169263"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2026M4","8.79646256132698"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2026M5","9.10994371229028"
"Core Monthly Inflation Rate (Trimmed Mean) (percentage)","%","2026M6","9.00950051448517"
