Date,Imports_Food_Beverages_Tobacco,Imports_Fuel
2019-01-01,674.7295512293333,572.1729214333333
2019-02-01,674.7295512293333,572.1729214333333
2019-03-01,674.7295512293333,572.1729214333333
2019-04-01,645.6272916036667,721.904882448
2019-05-01,645.6272916036667,721.904882448
2019-06-01,645.6272916036667,721.904882448
2019-07-01,760.3074075086666,860.8609104486667
2019-08-01,760.3074075086666,860.8609104486667
2019-09-01,760.3074075086666,860.8609104486667
2019-10-01,920.48483099,799.5804881553332
2019-11-01,920.48483099,799.5804881553332
2019-12-01,920.48483099,799.5804881553332
2020-01-01,830.1333333333333,949.6999999999999
2020-02-01,830.1333333333333,949.6999999999999
2020-03-01,830.1333333333333,949.6999999999999
2020-04-01,588.4666666666667,589.5666666666667
2020-05-01,588.4666666666667,589.5666666666667
2020-06-01,588.4666666666667,589.5666666666667
2020-07-01,827.2666666666668,1020.5
2020-08-01,827.2666666666668,1020.5
2020-09-01,827.2666666666668,1020.5
2020-10-01,927.8333333333334,663.6999999999999
2020-11-01,927.8333333333334,663.6999999999999
2020-12-01,927.8333333333334,663.6999999999999
2021-01-01,851.991481485,653.800073662
2021-02-01,795.131760603,784.401604733
2021-03-01,890.656825077,903.889903502
2021-04-01,806.310205283,853.760873077
2021-05-01,838.198656734,812.291779648
2021-06-01,866.527047938,860.031800543
2021-07-01,842.712790849,899.502289297
2021-08-01,831.435917766,1074.220120505
2021-09-01,954.377016987,865.887847952
2021-10-01,1041.273226777,1091.029921185
2021-11-01,1036.009533935,1110.089434318
2021-12-01,966.76963369,1213.096306573
2022-01-01,876.960109511,1089.265091732
2022-02-01,876.501169843,1046.349291833
2022-03-01,1183.09471962,1437.64534925
2022-04-01,903.211342054,1410.235668362
2022-05-01,900.092528731,1439.140811714
2022-06-01,2314.347581944,1722.966444503
2022-07-01,978.787281616,2295.585343479
2022-08-01,1047.438182797,1734.358020897
2022-09-01,1038.470351993,1469.262080087
2022-10-01,1032.593758698,1499.578452311
2022-11-01,1175.934166002,1521.761244276
2022-12-01,1013.643739325,1670.697108037
2023-01-01,907.022296172,1338.439377213
2023-02-01,1259.941273706,1288.534238338
2023-03-01,1221.3281924,1511.057644012
2023-04-01,1093.588910922,1366.7738805
2023-05-01,1013.070840058,1311.512358352
2023-06-01,1153.20952955,1321.59686427
2023-07-01,1077.103580933,1437.461446264
2023-08-01,1255.755154651,1486.095189942
2023-09-01,1321.24978061,1822.951
2023-10-01,1474.890056439,1798.779420526
2023-11-01,1436.402,1854.821006597
2023-12-01,1045.016,1403.977449393
2024-01-01,1106.996,1355.33
2024-02-01,1114.883,1622.803
2024-03-01,1108.957,1337.093
