Date,CHN_mean,CHN_median,CHN_std,CHN_range,CHN_pct_change,EUR_mean,EUR_median,EUR_std,EUR_range,EUR_pct_change,GBP_mean,GBP_median,GBP_std,GBP_range,GBP_pct_change,USD_mean,USD_median,USD_std,USD_range,USD_pct_change,SDR_mean,SDR_median,SDR_std,SDR_range,SDR_pct_change,YEN_mean,YEN_median,YEN_std,YEN_range,YEN_pct_change,ZAR_mean,ZAR_median,ZAR_std,ZAR_range,ZAR_pct_change
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.255929,0.19536,0.10609893263521308,0.24566,-0.17594193827302862,0.127176,0.12405999999999999,0.005847730509305403,0.013740000000000002,-0.06649535900987771,0.183873,0.18344,0.0016400045792162373,0.004379999999999995,-0.012493683548181457,0.140053,0.14089000000000002,0.002024623317759652,0.004980000000000001,0.026965055767126638,21.3978,21.43,0.1597244357967637,0.4499999999999993,0.0025262901545149603,1.3600059999999998,1.42349,0.1124611711642958,0.26164,1.7755233004064148
2001-02-01,0.0,0.0,0.0,0.0,0.0,0.19799,0.19822499999999998,0.0012247075496008928,0.0032000000000000015,-0.0005244179348634047,0.12552000000000002,0.125425,0.0006356118568601869,0.0017249999999999974,-0.0047234449234955555,0.18227,0.18230000000000002,0.0008017976597834356,0.002150000000000006,-0.003952890108167776,0.14104,0.141,0.00045583632532601704,0.0011750000000000024,-0.0012340081600313848,21.220499999999998,21.205,0.14931194899039166,0.4274999999999993,0.004884696994486501,1.4226299999999998,1.422275,0.00279279965739562,0.007100000000000051,0.0007934154335472571
2001-03-01,0.0,0.0,0.0,0.0,0.0,0.19844,0.198375,0.0012892676666692187,0.003349999999999992,0.008975875321599802,0.12461,0.124875,0.0005173549237326573,0.0013000000000000025,0.002417525367589061,0.17975,0.17980000000000002,0.0008708916064401103,0.002349999999999998,-0.006790424500154055,0.14092,0.14105,0.00041871782437688765,0.0010749999999999926,0.0015936198631855579,21.916,21.8625,0.13889038070509174,0.3649999999999993,0.012827039105646799,1.42355,1.42275,0.0024759014172493583,0.006300000000000028,-0.0009319079354947916
2001-04-01,0.0,0.0,0.0,0.0,0.0,0.19814166666666666,0.198125,0.001430445639220969,0.003850000000000006,-0.0017420631314736049,0.12330833333333334,0.123525,0.0005581157383971977,0.0014249999999999957,0.0016725434467971404,0.17713333333333334,0.17705,0.0005831711505695082,0.0015249999999999986,0.004266049858579141,0.13971333333333333,0.1397,0.0005178650302238596,0.0015000000000000013,0.0020176139822079752,21.8995,21.877499999999998,0.11916890449834078,0.30749999999999833,0.002584432097141291,1.4304483333333333,1.430775,0.0027875459403069246,0.00764999999999999,-0.00020510350237726922
2001-05-01,0.0,0.0,0.0,0.0,0.0,0.203727,0.20371999999999998,0.0011010199637301976,0.002920000000000006,0.007643285613132949,0.12499666666666667,0.12511,0.0005237997461510461,0.001419999999999999,0.0018095181199364214,0.17836233333333334,0.17828,0.000434447259658766,0.0011399999999999965,0.0004554083381094382,0.141175,0.14118,0.00036754452969666384,0.0009999999999999953,0.0015790684530025388,21.6481,21.669999999999998,0.1845978252453283,0.49000000000000055,-0.0033007474215368516,1.4221256666666666,1.42212,0.002170269175365009,0.005900000000000016,-0.0009072245385809994
2001-06-01,0.0,0.0,0.0,0.0,0.0,0.20667875,0.20645000000000002,0.0008432485174325575,0.0022999999999999965,-0.0019672150977320616,0.12612625,0.126225,0.0006110813398751591,0.0015999999999999973,-0.001694385115257387,0.17661875,0.17651250000000002,0.0004897756558229857,0.0012750000000000053,0.0014370285612087925,0.14107125,0.1410375,0.00017662892124102277,0.00047500000000001014,0.0015963760077345472,21.65475,21.625,0.1161215576814366,0.3125,0.010077679584384741,1.42255625,1.4227625,0.001033535193238495,0.0028499999999999637,-0.0010012751574306636
2001-07-01,0.0,0.0,0.0,0.0,0.0,0.201195,0.20192000000000002,0.0024998309132699187,0.0066,-0.029847546074748387,0.123157,0.12310000000000001,0.0005238244374024919,0.0014399999999999968,-0.007713884292973159,0.17461700000000002,0.17455,0.0005245646984230833,0.0013400000000000022,-0.00579521016323358,0.139278,0.13919,0.0004513922292588298,0.001200000000000001,-0.007544787568112335,21.7349,21.722,0.09565343956420934,0.2600000000000001,-0.00867807867949944,1.433665,1.43422,0.0028041552653384674,0.007479999999999975,0.004542801883496821
2001-08-01,0.0,0.0,0.0,0.0,0.0,0.19288499999999997,0.192775,0.0010274156036722962,0.002925000000000004,-0.009515640531508385,0.121165,0.121175,0.00042804557474148915,0.0011750000000000024,-0.005550824206381737,0.17435,0.1743,0.000525288448088447,0.001350000000000004,0.0015918349476586361,0.13663,0.13665,0.0003803834601387558,0.001124999999999994,-0.004206671321272478,21.0735,21.0675,0.10507328930951723,0.29249999999999865,-0.010366319917684485,1.451045,1.451225,0.0021577571843107604,0.006150000000000044,0.002620845831499365
2001-09-01,0.0,0.0,0.0,0.0,0.0,0.18738375000000002,0.1873125,0.0011731870511873786,0.003349999999999992,-0.012290200095214393,0.11668375,0.1165875,0.0005654399393285751,0.0015000000000000013,-0.011514063817515127,0.170745,0.1709,0.0005952356648064432,0.0015250000000000055,-0.005297916535939713,0.13283625000000002,0.13285,0.0004940206029408424,0.0013749999999999943,-0.009590413384635711,19.262265,20.28,2.1598957069910334,5.458674999999999,24.96773410362823,1.47711875,1.4770124999999998,0.0036310806690057437,0.009974999999999956,0.0062140484956259255
2001-10-01,0.0,0.0,0.0,0.0,0.0,0.180087,0.18018,0.0007958784915546458,0.002140000000000003,0.0011567972395905828,0.11234999999999999,0.11244000000000001,0.0006582909716215228,0.0017399999999999998,-0.0030019963159448456,0.16305,0.16299999999999998,0.0008188933665795771,0.0022199999999999998,-0.0024785573938133397,0.127635,0.12763,0.0006143519777503349,0.0016799999999999981,-0.002133163035888832,19.793,19.794999999999998,0.11397384085346526,0.2959999999999994,-0.002045719369630209,1.499107,1.5164,0.03544907495191918,0.08458000000000002,0.0011244542651563751
